Us vs Them	017e4d01-a17f-458e-8afb-8f31ed1b9249	07d8b664-d7ec-4809-a4ce-4e66f45f5e4b	23bed48e-3d28-4819-b3ed-cdf8f98a9081	50bb669e-8ba5-4a6e-8015-e55a922bbcc5	6b13d5d4-8538-41f8-a81b-39dc1d8f4725	7c71d332-71fc-4639-ba64-435f64b84a4f	984fea6f-93bd-4795-be25-1d54d082522a	a7a4b72e-b267-4f21-abed-d8599daaa008	ab013177-33b4-4be6-a281-33937f45dafc	b3f9ee21-538a-4e38-b22b-93f25894c04c	de1c4197-99ce-4b51-8cfc-d80fa45c18ee	de8c3eae-2424-4b58-9e0d-388f281ddf75	e518c901-6791-41f5-a8cb-08593555d2f0	f50c31c1-9248-4a93-bbef-6e9f45e26487	
017e4d01-a17f-458e-8afb-8f31ed1b9249	0	0.000384	0	0	0	0	0	0	0	0	0	0.000168	0.003426	0.040107	
07d8b664-d7ec-4809-a4ce-4e66f45f5e4b	0.000384	0	0	0	0.000384	0	0.000384	0	0	0.000114	0	0.000181	0	0	
23bed48e-3d28-4819-b3ed-cdf8f98a9081	
50bb669e-8ba5-4a6e-8015-e55a922bbcc5	0	0	0	0	0	0	0	0	0	0.018985	0	0	0	0	
6b13d5d4-8538-41f8-a81b-39dc1d8f4725	0	0.000384	0	0	0	0.003024	0	0	0	0	0	0.000164	0	0.040832	
7c71d332-71fc-4639-ba64-435f64b84a4f	0	0	0	0	0.003024	0	0	0	0	0	0	0	0	0	
984fea6f-93bd-4795-be25-1d54d082522a	0	0.000384	0	0	0	0	0	0.003116	0	0	0	0.000065	0	0.039629	
a7a4b72e-b267-4f21-abed-d8599daaa008	0	0	0	0	0	0	0.003116	0	0	0	0	0	0	0	
ab013177-33b4-4be6-a281-33937f45dafc	0	0	0	0	0	0	0	0	0	0.009820	0	0	0	0	
b3f9ee21-538a-4e38-b22b-93f25894c04c	0	0.000114	0	0.018985	0	0	0	0	0.009820	0	0.008646	0	0	0	
de1c4197-99ce-4b51-8cfc-d80fa45c18ee	0	0	0	0	0	0	0	0	0	0.008646	0	0	0	0	
de8c3eae-2424-4b58-9e0d-388f281ddf75	0.000168	0.000181	0	0	0.000164	0	0.000065	0	0	0	0	0	0	0	
e518c901-6791-41f5-a8cb-08593555d2f0	0.003426	0	0	0	0	0	0	0	0	0	0	0	0	0	
f50c31c1-9248-4a93-bbef-6e9f45e26487	0.040107	0	0	0	0.040832	0	0.039629	0	0	0	0	0	0	0	
